accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.5742297172546387,0.9606467485427856,0.6666666865348816,0.5523809790611267,0.39759036898612976,0.7356101274490356,0.0,0.0,0.0010000000474974513
0.4375,1.0171678066253662,0.7142857313156128,0.4166666567325592,0.39759036898612976,0.7349146604537964,0.0,0.0,0.0010000000474974513
0.5350140333175659,0.9235636591911316,0.6296296119689941,0.5534883737564087,0.40963855385780334,0.7642346024513245,1.0,0.019999999552965164,0.0010000000474974513
0.5,1.0434058904647827,0.5882353186607361,0.5263158082962036,0.39759036898612976,0.8141988515853882,0.0,0.0,0.0010000000474974513
0.5490196347236633,1.0005730390548706,0.6326530575752258,0.5821596384048462,0.45783132314682007,0.7468900680541992,0.7272727489471436,0.1599999964237213,0.0010000000474974513
0.65625,0.529719352722168,0.8125,0.6190476417541504,0.4457831382751465,0.7448065876960754,0.6428571343421936,0.18000000715255737,0.0010000000474974513
0.5742297172546387,0.931903600692749,0.6585366129875183,0.6221198439598083,0.39759036898612976,0.9740675687789917,0.0,0.0,0.0010000000474974513
0.4375,1.0954889059066772,0.4736842215061188,0.529411792755127,0.39759036898612976,0.9782640337944031,0.0,0.0,0.00020000000949949026
0.5322129130363464,0.9012524485588074,0.6027397513389587,0.6226415038108826,0.46987950801849365,0.7894870042800903,0.800000011920929,0.1599999964237213,0.00020000000949949026
0.5625,0.9645180702209473,0.699999988079071,0.6363636255264282,0.45783132314682007,0.7711893320083618,0.7272727489471436,0.1599999964237213,0.00020000000949949026
0.593837559223175,0.8647090792655945,0.6455696225166321,0.7149532437324524,0.650602400302887,0.6453744769096375,0.6666666865348816,0.8399999737739563,0.00020000000949949026
0.75,0.5764318704605103,0.800000011920929,0.800000011920929,0.6385542154312134,0.6464177966117859,0.6515151262283325,0.8600000143051147,0.00020000000949949026
0.6134454011917114,0.8251082301139832,0.6739130616188049,0.71100914478302,0.650602400302887,0.6519506573677063,0.6399999856948853,0.9599999785423279,0.00020000000949949026
0.5625,0.9392062425613403,0.550000011920929,0.6875,0.650602400302887,0.6498897075653076,0.6399999856948853,0.9599999785423279,0.00020000000949949026
0.5322129130363464,0.8799891471862793,0.6081081032752991,0.6279069781303406,0.5783132314682007,0.6556839346885681,0.6530612111091614,0.6399999856948853,0.00020000000949949026
0.46875,0.8275952339172363,0.5625,0.4736842215061188,0.5662650465965271,0.661065399646759,0.6590909361839294,0.5799999833106995,0.00020000000949949026
0.5490196347236633,0.8798825740814209,0.6160714030265808,0.6478873491287231,0.5903614163398743,0.6628256440162659,0.6818181872367859,0.6000000238418579,4.0000002627493814e-05
0.46875,1.0147764682769775,0.6111111044883728,0.523809552192688,0.5903614163398743,0.6633186936378479,0.6818181872367859,0.6000000238418579,4.0000002627493814e-05
0.6106442809104919,0.8093439340591431,0.6623931527137756,0.7209302186965942,0.5783132314682007,0.6660297513008118,0.6744186282157898,0.5799999833106995,4.0000002627493814e-05
0.59375,0.8865334987640381,0.6363636255264282,0.7368420958518982,0.5783132314682007,0.6650456190109253,0.6744186282157898,0.5799999833106995,4.0000002627493814e-05
0.5729166865348816,0.7893436551094055,0.6416666507720947,0.6637930870056152,0.5903614163398743,0.6684597730636597,0.6818181872367859,0.6000000238418579,4.0000002627493814e-05
0.4000000059604645,1.0436476469039917,0.3333333432674408,0.5,0.5903614163398743,0.6696287393569946,0.6818181872367859,0.6000000238418579,9.999999747378752e-06
0.5770308375358582,0.8036447763442993,0.6454545259475708,0.6604651212692261,0.5783132314682007,0.67002272605896,0.6744186282157898,0.5799999833106995,9.999999747378752e-06
0.65625,0.6956706047058105,0.699999988079071,0.7368420958518982,0.5903614163398743,0.6694160103797913,0.6818181872367859,0.6000000238418579,9.999999747378752e-06
0.5602241158485413,0.8467686772346497,0.6363636255264282,0.6451612710952759,0.5903614163398743,0.6690576672554016,0.6818181872367859,0.6000000238418579,9.999999747378752e-06
0.59375,0.6982030868530273,0.6111111044883728,0.6470588445663452,0.5783132314682007,0.6702365875244141,0.6744186282157898,0.5799999833106995,9.999999747378752e-06
